table,page,side,text
table_1,3,left,Akurskóli 22
table_1,3,right,Hólabrekkuskóli 26
table_1,3,left,Alþjóðaskólinn á Íslandi 4
table_1,3,right,Höfðaskóli 3
table_1,3,left,Austurbæjarskóli 27
table_1,3,right,Hörðuvallaskóli 59
table_1,3,left,"Auðarskóli, grunnskóladeild Búðardal 2"
table_1,3,right,Húnavallaskóli 2
table_1,3,left,Barnaskólinn á Eyrarbakka og Stokkseyri 6
table_1,3,right,Ingunnarskóli 31
table_1,3,left,Bláskógaskóli Laugarvatni 4
table_1,3,right,Kelduskóli - Vík 7
table_1,3,left,Bláskógaskóli Reykholti 4
table_1,3,right,Kerhólsskóli 1
table_1,3,left,Blönduskóli 8
table_1,3,right,Kirkjubæjarskóli 2
table_1,3,left,Borgarhólsskóli 22
table_1,3,right,Klébergsskóli 8
table_1,3,left,Breiðholtsskóli 18
table_1,3,right,Kársnesskóli 39
table_1,3,left,Brekkubæjarskóli 17
table_1,3,right,Kópavogsskóli 20
table_1,3,left,Brekkuskóli 37
table_1,3,right,Landakotsskóli 9
table_1,3,left,Brúarásskóli 4
table_1,3,right,Langholtsskóli 30
table_1,3,left,Bíldudalsskóli 1
table_1,3,right,Laugalandsskóli í Holtum 6
table_1,3,left,Dalskóli 11
table_1,3,right,Laugalækjarskóli 51
table_1,3,left,Dalvíkurskóli 12
table_1,3,right,Lindaskóli 28
table_1,3,left,Djúpavogsskóli 2
table_1,3,right,Lundarskóli 32
table_1,3,left,Egilsstaðaskóli 19
table_1,3,right,Lágafellsskóli 39
table_1,3,left,Eskifjarðarskóli 2
table_1,3,right,Lækjarskóli 28
table_1,3,left,"Fellaskóli, Fellabæ 5"
table_1,3,right,Myllubakkaskóli 14
table_1,3,left,"Fellaskóli, Norðurfelli 8"
table_1,3,right,Naustaskóli 22
table_1,3,left,Flóaskóli 5
table_1,3,right,Nesskóli 10
table_1,3,left,Flúðaskóli 13
table_1,3,right,Njarðvíkurskóli 21
table_1,3,left,Foldaskóli 47
table_1,3,right,Norðlingaskóli 34
table_1,3,left,Framsýn menntun ehf. 2
table_1,3,right,NÚ - framsýn menntun 5
table_1,3,left,Garðaskóli 142
table_1,3,right,Oddeyrarskóli 11
table_1,3,left,Gerðaskóli 6
table_1,3,right,Patreksskóli 4
table_1,3,left,Giljaskóli 23
table_1,3,right,Reykhólaskóli 2
table_1,3,left,Glerárskóli 15
table_1,3,right,Reykjahlíðarskóli 2
table_1,3,left,Grenivíkurskóli 2
table_1,3,right,Rimaskóli 29
table_1,3,left,Grundaskóli 51
table_1,3,right,Réttarholtsskóli 105
table_1,3,left,Grunnskóli Bolungarvíkur 7
table_1,3,right,Salaskóli 45
table_1,3,left,Grunnskóli Borgarfjarðar 9
table_1,3,right,Sandgerðisskóli 6
table_1,3,left,Grunnskóli Borgarfjarðar-eystri 1
table_1,3,right,Seljaskóli 32
table_1,3,left,Grunnskóli Djúpavogs 1
table_1,3,right,Setbergsskóli 19
table_1,3,left,Grunnskóli Fjallabyggðar 6
table_1,3,right,Seyðisfjarðarskóli 4
table_1,3,left,Grunnskóli Grindavíkur 26
table_1,3,right,Sjálandsskóli 16
table_1,3,left,Grunnskóli Grundarfjarðar 7
table_1,3,right,Smáraskóli 24
table_1,3,left,Grunnskóli Hornafjarðar 16
table_1,3,right,Snælandsskóli 23
table_1,3,left,Grunnskóli Húnaþings vestra 7
