municipality_code,age_code,year_code,sex_code,year,sveitarfelag_source,age,sex,population
9999,-1,1998,0,1998,Alls,Alls,Alls,272381
9999,-1,1999,0,1999,Alls,Alls,Alls,275712
9999,-1,2000,0,2000,Alls,Alls,Alls,279049
9999,-1,2001,0,2001,Alls,Alls,Alls,283361
9999,-1,2002,0,2002,Alls,Alls,Alls,286575
9999,-1,2003,0,2003,Alls,Alls,Alls,288471
9999,-1,2004,0,2004,Alls,Alls,Alls,290570
9999,-1,2005,0,2005,Alls,Alls,Alls,293577
9999,-1,2006,0,2006,Alls,Alls,Alls,299891
9999,-1,2007,0,2007,Alls,Alls,Alls,307672
9999,-1,2008,0,2008,Alls,Alls,Alls,315459
9999,-1,2009,0,2009,Alls,Alls,Alls,319368
9999,-1,2010,0,2010,Alls,Alls,Alls,317630
9999,-1,2011,0,2011,Alls,Alls,Alls,311841
9999,-1,2012,0,2012,Alls,Alls,Alls,313182
9999,-1,2013,0,2013,Alls,Alls,Alls,315810
9999,-1,2014,0,2014,Alls,Alls,Alls,319718
9999,-1,2015,0,2015,Alls,Alls,Alls,323024
9999,-1,2016,0,2016,Alls,Alls,Alls,326036
9999,-1,2017,0,2017,Alls,Alls,Alls,332507
9999,-1,2018,0,2018,Alls,Alls,Alls,342183
9999,-1,2019,0,2019,Alls,Alls,Alls,349468
9999,-1,2020,0,2020,Alls,Alls,Alls,354042
9999,-1,2021,0,2021,Alls,Alls,Alls,358298
9999,-1,2022,0,2022,Alls,Alls,Alls,364917
9999,-1,2023,0,2023,Alls,Alls,Alls,375218
9999,-1,2024,0,2024,Alls,Alls,Alls,383726
9999,-1,2025,0,2025,Alls,Alls,Alls,389444
9999,-1,2026,0,2026,Alls,Alls,Alls,394324
9999,6,1998,0,1998,Alls, 6 ára,Alls,4482
9999,6,1999,0,1999,Alls, 6 ára,Alls,4515
9999,6,2000,0,2000,Alls, 6 ára,Alls,4592
9999,6,2001,0,2001,Alls, 6 ára,Alls,4464
9999,6,2002,0,2002,Alls, 6 ára,Alls,4319
9999,6,2003,0,2003,Alls, 6 ára,Alls,4433
9999,6,2004,0,2004,Alls, 6 ára,Alls,4228
9999,6,2005,0,2005,Alls, 6 ára,Alls,4240
9999,6,2006,0,2006,Alls, 6 ára,Alls,4172
9999,6,2007,0,2007,Alls, 6 ára,Alls,4364
9999,6,2008,0,2008,Alls, 6 ára,Alls,4200
9999,6,2009,0,2009,Alls, 6 ára,Alls,4159
9999,6,2010,0,2010,Alls, 6 ára,Alls,4248
9999,6,2011,0,2011,Alls, 6 ára,Alls,4325
9999,6,2012,0,2012,Alls, 6 ára,Alls,4303
9999,6,2013,0,2013,Alls, 6 ára,Alls,4398
9999,6,2014,0,2014,Alls, 6 ára,Alls,4522
9999,6,2015,0,2015,Alls, 6 ára,Alls,4685
9999,6,2016,0,2016,Alls, 6 ára,Alls,4819
9999,6,2017,0,2017,Alls, 6 ára,Alls,4833
9999,6,2018,0,2018,Alls, 6 ára,Alls,4552
9999,6,2019,0,2019,Alls, 6 ára,Alls,4595
9999,6,2020,0,2020,Alls, 6 ára,Alls,4445
9999,6,2021,0,2021,Alls, 6 ára,Alls,4511
9999,6,2022,0,2022,Alls, 6 ára,Alls,4325
9999,6,2023,0,2023,Alls, 6 ára,Alls,4297
9999,6,2024,0,2024,Alls, 6 ára,Alls,4354
9999,6,2025,0,2025,Alls, 6 ára,Alls,4436
9999,6,2026,0,2026,Alls, 6 ára,Alls,4677
9999,7,1998,0,1998,Alls, 7 ára,Alls,4705
9999,7,1999,0,1999,Alls, 7 ára,Alls,4467
9999,7,2000,0,2000,Alls, 7 ára,Alls,4543
9999,7,2001,0,2001,Alls, 7 ára,Alls,4632
9999,7,2002,0,2002,Alls, 7 ára,Alls,4487
9999,7,2003,0,2003,Alls, 7 ára,Alls,4328
9999,7,2004,0,2004,Alls, 7 ára,Alls,4429
9999,7,2005,0,2005,Alls, 7 ára,Alls,4238
9999,7,2006,0,2006,Alls, 7 ára,Alls,4282
9999,7,2007,0,2007,Alls, 7 ára,Alls,4195
9999,7,2008,0,2008,Alls, 7 ára,Alls,4412
9999,7,2009,0,2009,Alls, 7 ára,Alls,4231
9999,7,2010,0,2010,Alls, 7 ára,Alls,4119
9999,7,2011,0,2011,Alls, 7 ára,Alls,4185
9999,7,2012,0,2012,Alls, 7 ára,Alls,4313
9999,7,2013,0,2013,Alls, 7 ára,Alls,4311
9999,7,2014,0,2014,Alls, 7 ára,Alls,4430
9999,7,2015,0,2015,Alls, 7 ára,Alls,4513
9999,7,2016,0,2016,Alls, 7 ára,Alls,4677
9999,7,2017,0,2017,Alls, 7 ára,Alls,4874
9999,7,2018,0,2018,Alls, 7 ára,Alls,4882
9999,7,2019,0,2019,Alls, 7 ára,Alls,4605
9999,7,2020,0,2020,Alls, 7 ára,Alls,4609
9999,7,2021,0,2021,Alls, 7 ára,Alls,4495
9999,7,2022,0,2022,Alls, 7 ára,Alls,4547
9999,7,2023,0,2023,Alls, 7 ára,Alls,4416
9999,7,2024,0,2024,Alls, 7 ára,Alls,4337
9999,7,2025,0,2025,Alls, 7 ára,Alls,4423
9999,7,2026,0,2026,Alls, 7 ára,Alls,4429
9999,8,1998,0,1998,Alls, 8 ára,Alls,4451
9999,8,1999,0,1999,Alls, 8 ára,Alls,4717
9999,8,2000,0,2000,Alls, 8 ára,Alls,4483
9999,8,2001,0,2001,Alls, 8 ára,Alls,4564
9999,8,2002,0,2002,Alls, 8 ára,Alls,4637
9999,8,2003,0,2003,Alls, 8 ára,Alls,4472
9999,8,2004,0,2004,Alls, 8 ára,Alls,4336
9999,8,2005,0,2005,Alls, 8 ára,Alls,4427
9999,8,2006,0,2006,Alls, 8 ára,Alls,4265
9999,8,2007,0,2007,Alls, 8 ára,Alls,4295
9999,8,2008,0,2008,Alls, 8 ára,Alls,4238
9999,8,2009,0,2009,Alls, 8 ára,Alls,4453
9999,8,2010,0,2010,Alls, 8 ára,Alls,4211
9999,8,2011,0,2011,Alls, 8 ára,Alls,4051
9999,8,2012,0,2012,Alls, 8 ára,Alls,4162
9999,8,2013,0,2013,Alls, 8 ára,Alls,4303
9999,8,2014,0,2014,Alls, 8 ára,Alls,4347
9999,8,2015,0,2015,Alls, 8 ára,Alls,4448
9999,8,2016,0,2016,Alls, 8 ára,Alls,4501
9999,8,2017,0,2017,Alls, 8 ára,Alls,4716
9999,8,2018,0,2018,Alls, 8 ára,Alls,4920
9999,8,2019,0,2019,Alls, 8 ára,Alls,4910
9999,8,2020,0,2020,Alls, 8 ára,Alls,4635
9999,8,2021,0,2021,Alls, 8 ára,Alls,4677
9999,8,2022,0,2022,Alls, 8 ára,Alls,4518
9999,8,2023,0,2023,Alls, 8 ára,Alls,4618
9999,8,2024,0,2024,Alls, 8 ára,Alls,4475
9999,8,2025,0,2025,Alls, 8 ára,Alls,4383
9999,8,2026,0,2026,Alls, 8 ára,Alls,4453
9999,9,1998,0,1998,Alls, 9 ára,Alls,4552
9999,9,1999,0,1999,Alls, 9 ára,Alls,4459
9999,9,2000,0,2000,Alls, 9 ára,Alls,4749
9999,9,2001,0,2001,Alls, 9 ára,Alls,4508
9999,9,2002,0,2002,Alls, 9 ára,Alls,4597
9999,9,2003,0,2003,Alls, 9 ára,Alls,4642
9999,9,2004,0,2004,Alls, 9 ára,Alls,4497
9999,9,2005,0,2005,Alls, 9 ára,Alls,4343
9999,9,2006,0,2006,Alls, 9 ára,Alls,4445
9999,9,2007,0,2007,Alls, 9 ára,Alls,4278
9999,9,2008,0,2008,Alls, 9 ára,Alls,4315
9999,9,2009,0,2009,Alls, 9 ára,Alls,4268
9999,9,2010,0,2010,Alls, 9 ára,Alls,4433
9999,9,2011,0,2011,Alls, 9 ára,Alls,4166
9999,9,2012,0,2012,Alls, 9 ára,Alls,4048
9999,9,2013,0,2013,Alls, 9 ára,Alls,4184
9999,9,2014,0,2014,Alls, 9 ára,Alls,4344
9999,9,2015,0,2015,Alls, 9 ára,Alls,4367
9999,9,2016,0,2016,Alls, 9 ára,Alls,4444
9999,9,2017,0,2017,Alls, 9 ára,Alls,4523
9999,9,2018,0,2018,Alls, 9 ára,Alls,4766
9999,9,2019,0,2019,Alls, 9 ára,Alls,4953
9999,9,2020,0,2020,Alls, 9 ára,Alls,4934
9999,9,2021,0,2021,Alls, 9 ára,Alls,4697
9999,9,2022,0,2022,Alls, 9 ára,Alls,4726
9999,9,2023,0,2023,Alls, 9 ára,Alls,4595
9999,9,2024,0,2024,Alls, 9 ára,Alls,4683
9999,9,2025,0,2025,Alls, 9 ára,Alls,4522
9999,9,2026,0,2026,Alls, 9 ára,Alls,4407
9999,10,1998,0,1998,Alls, 10 ára,Alls,4120
9999,10,1999,0,1999,Alls, 10 ára,Alls,4570
9999,10,2000,0,2000,Alls, 10 ára,Alls,4464
9999,10,2001,0,2001,Alls, 10 ára,Alls,4766
9999,10,2002,0,2002,Alls, 10 ára,Alls,4502
9999,10,2003,0,2003,Alls, 10 ára,Alls,4601
9999,10,2004,0,2004,Alls, 10 ára,Alls,4658
9999,10,2005,0,2005,Alls, 10 ára,Alls,4505
9999,10,2006,0,2006,Alls, 10 ára,Alls,4364
9999,10,2007,0,2007,Alls, 10 ára,Alls,4453
9999,10,2008,0,2008,Alls, 10 ára,Alls,4338
9999,10,2009,0,2009,Alls, 10 ára,Alls,4352
9999,10,2010,0,2010,Alls, 10 ára,Alls,4229
9999,10,2011,0,2011,Alls, 10 ára,Alls,4388
9999,10,2012,0,2012,Alls, 10 ára,Alls,4153
9999,10,2013,0,2013,Alls, 10 ára,Alls,4050
9999,10,2014,0,2014,Alls, 10 ára,Alls,4205
9999,10,2015,0,2015,Alls, 10 ára,Alls,4365
9999,10,2016,0,2016,Alls, 10 ára,Alls,4339
9999,10,2017,0,2017,Alls, 10 ára,Alls,4483
9999,10,2018,0,2018,Alls, 10 ára,Alls,4570
9999,10,2019,0,2019,Alls, 10 ára,Alls,4815
9999,10,2020,0,2020,Alls, 10 ára,Alls,4996
9999,10,2021,0,2021,Alls, 10 ára,Alls,4996
9999,10,2022,0,2022,Alls, 10 ára,Alls,4720
9999,10,2023,0,2023,Alls, 10 ára,Alls,4838
9999,10,2024,0,2024,Alls, 10 ára,Alls,4662
9999,10,2025,0,2025,Alls, 10 ára,Alls,4722
9999,10,2026,0,2026,Alls, 10 ára,Alls,4556
9999,11,1998,0,1998,Alls, 11 ára,Alls,3845
9999,11,1999,0,1999,Alls, 11 ára,Alls,4126
9999,11,2000,0,2000,Alls, 11 ára,Alls,4582
9999,11,2001,0,2001,Alls, 11 ára,Alls,4470
9999,11,2002,0,2002,Alls, 11 ára,Alls,4796
9999,11,2003,0,2003,Alls, 11 ára,Alls,4492
9999,11,2004,0,2004,Alls, 11 ára,Alls,4617
9999,11,2005,0,2005,Alls, 11 ára,Alls,4661
9999,11,2006,0,2006,Alls, 11 ára,Alls,4540
9999,11,2007,0,2007,Alls, 11 ára,Alls,4390
