source_school_name,normalized_school_name,sveitarfelag,canonical_school_name,manual_status,notes
Andakílsskóli,andakilsskoli,,,,
Ásgarðsskóli,asgardsskoli,,,,
Ásgarður,asgardur,,,,
"Auðarskóli, grunnskóladeild Búðardal",audarskoli grunnskoladeild budardal,,,,
Barnaskóli Bárðdæla,barnaskoli barddaela,,,,
Barnaskóli Hjallastefnunnar Garðabæ,barnaskoli hjallastefnunnar gardabae,,,,
Barnaskóli Hjallastefnunnar Hafnarfirði,barnaskoli hjallastefnunnar hafnarfirdi,,,,
Barnaskóli Hjallastefnunnar Reykjanesbæ,barnaskoli hjallastefnunnar reykjanesbae,,,,
Barnaskóli Ólafsfjarðar,barnaskoli olafsfjardar,,,,
Barnaskóli Vestmannaeyja,barnaskoli vestmannaeyja,,,,
Bláskógaskóli Reykholti,blaskogaskoli reykholti,,,,
Blönduskóli,blonduskoli,,,,
Brautarholts- og Gnúpverjaskóli,brautarholts og gnupverjaskoli,,,,
Brautarholtsskóli,brautarholtsskoli,,,,
Broddanesskóli,broddanesskoli,,,,
Dalbrautarskóli,dalbrautarskoli,,,,
Digranesskóli,digranesskoli,,,,
Einholtsskóli,einholtsskoli,,,,
Eskifjarðarskóli,eskifjardarskoli,,,,
"Fellaskóli, Norðurfelli",fellaskoli nordurfelli,,,,
Fellaskóli (Reykjavík),fellaskoli reykjavik,,,,
Finnbogastaðaskóli,finnbogastadaskoli,,,,
Fljótshlíðarskóli,fljotshlidarskoli,,,,
Framsýn menntun ehf.,framsyn menntun,,,,
Gagnfræðaskólinn Ólafsfirði,gagnfraedaskolinn olafsfirdi,,,,
Gaulverjaskóli,gaulverjaskoli,,,,
Gnúpverjaskóli,gnupverjaskoli,,,,
Grunnskóli Akrahrepps,grunnskoli akrahrepps,,,,
Grunnskóli Bláskógabyggðar/Bláskógaskóli,grunnskoli blaskogabyggdar blaskogaskoli,,,,
Grunnskóli Bolungarvíkur,grunnskoli bolungarvikur,,,,
Grunnskóli Dalvíkurbyggðar,grunnskoli dalvikurbyggdar,,,,
Grunnskóli Djúpavogs,grunnskoli djupavogs,,,,
Grunnskóli Grindavíkur,grunnskoli grindavikur,,,,
Grunnskóli Mjóafjarðar,grunnskoli mjoafjardar,,,,
Grunnskóli Önundarfjarðar,grunnskoli onundarfjardar,,,,
Grunnskóli Raufarhafnar,grunnskoli raufarhafnar,,,,
Grunnskóli Seltjarnarness,grunnskoli seltjarnarness,,,,
Grunnskóli Siglufjarðar,grunnskoli siglufjardar,,,,
Grunnskóli Vestmannaeyja,grunnskoli vestmannaeyja,,,,
Grunnskóli Vesturbyggðar,grunnskoli vesturbyggdar,,,,
Grunnskólinn á Bakkafirði,grunnskolinn a bakkafirdi,,,,
Grunnskólinn á Blönduósi/Blönduskóli,grunnskolinn a blonduosi blonduskoli,,,,
Grunnskólinn á Borðeyri,grunnskolinn a bordeyri,,,,
Grunnskólinn á Eskifirði,grunnskolinn a eskifirdi,,,,
Grunnskólinn á Hellissandi,grunnskolinn a hellissandi,,,,
Grunnskólinn á Laugarvatni,grunnskolinn a laugarvatni,,,,
Grunnskólinn á Stöðvarfirði,grunnskolinn a stodvarfirdi,,,,
Grunnskólinn að Hólum,grunnskolinn ad holum,,,,
Grunnskólinn Hofsósi,grunnskolinn hofsosi,,,,
Grunnskólinn í Austur-Landeyjum,grunnskolinn i austur landeyjum,,,,
Grunnskólinn í Breiðdalshreppi,grunnskolinn i breiddalshreppi,,,,
Grunnskólinn í Búðardal,grunnskolinn i budardal,,,,
Grunnskólinn í Grímsey/Grímseyjarskóli,grunnskolinn i grimsey grimseyjarskoli,,,,
Grunnskólinn í Ólafsfirði,grunnskolinn i olafsfirdi,,,,
Grunnskólinn í Ólafsvík,grunnskolinn i olafsvik,,,,
Grunnskólinn í Svalbarðshreppi/Svalbarðsskóli,grunnskolinn i svalbardshreppi svalbardsskoli,,,,
Grunnskólinn Ljósaborg,grunnskolinn ljosaborg,,,,
Grunnskólinn Tjarnarlundi,grunnskolinn tjarnarlundi,,,,
Háaleitisskóli - Álftamýri,haaleitisskoli alftamyri,,,,
Háaleitisskóli - Reykjanesbæ,haaleitisskoli reykjanesbae,,,,
Háaleitisskóli (Reykjanesbæ),haaleitisskoli reykjanesbae,,,,
Hafnarskóli,hafnarskoli,,,,
Hafralækjarskóli,hafralaekjarskoli,,,,
Hallormsstaðaskóli,hallormsstadaskoli,,,,
Hamarsskóli Vestmannaeyjum,hamarsskoli vestmannaeyjum,,,,
Heiðarskóli - Hvalfjarðarsveit,heidarskoli hvalfjardarsveit,,,,
Heiðarskóli (Hvalfjarðarsveit),heidarskoli hvalfjardarsveit,,,,
Heiðarskóli - Reykjanesbæ,heidarskoli reykjanesbae,,,,
Heiðarskóli (Reykjanesbæ),heidarskoli reykjanesbae,,,,
Heppuskóli,heppuskoli,,,,
Hjallaskóli,hjallaskoli,,,,
Hlíðarhúsaskóli,hlidarhusaskoli,,,,
Hlíðarskóli Akureyri,hlidarskoli akureyri,,,,
Hrollaugsstaðaskóli,hrollaugsstadaskoli,,,,
Húnavallaskóli,hunavallaskoli,,,,
Húsabakkaskóli,husabakkaskoli,,,,
Kelduskóli,kelduskoli,,,,
Kelduskóli - Vík,kelduskoli vik,,,,
Kerhólsskóli,kerholsskoli,,,,
Kleppjárnsreykjaskóli,kleppjarnsreykjaskoli,,,,
Kópaskersskóli,kopaskersskoli,,,,
Korpuskóli,korpuskoli,,,,
Laugalandsskóli í Holtum,laugalandsskoli i holtum,,,,
Laugargerðisskóli,laugargerdisskoli,,,,
Litlulaugaskóli,litlulaugaskoli,,,,
Ljósafossskóli,ljosafossskoli,,,,
Lýsuhólsskóli,lysuholsskoli,,,,
Meðferðarheimilið á Torfastöðum,medferdarheimilid a torfastodum,,,,
Nesjaskóli,nesjaskoli,,,,
NÚ - framsýn menntun,nu framsyn menntun,,,,
Öskjuhlíðarskóli,oskjuhlidarskoli,,,,
Reykholtsskóli,reykholtsskoli,,,,
Reykjavík International School,reykjavik international school,,,,
Safamýrarskóli,safamyrarskoli,,,,
Sandgerðisskóli,sandgerdisskoli,,,,
Sandvíkurskóli,sandvikurskoli,,,,
Seljalandsskóli,seljalandsskoli,,,,
Sólgarðaskóli,solgardaskoli,,,,
Sólvallaskóli,solvallaskoli,,,,
Steinsstaðaskóli,steinsstadaskoli,,,,
Stöðvarfjarðarskóli,stodvarfjardarskoli,,,,
Þingborgarskóli,thingborgarskoli,,,,
Þykkvabæjarskóli,thykkvabaejarskoli,,,,
Vættaskóli,vaettaskoli,,,,
Vættaskóli - Engi,vaettaskoli engi,,,,
Varmalandsskóli,varmalandsskoli,,,,
Vesturhlíðarskóli,vesturhlidarskoli,,,,
Víkurskóli,vikurskoli,,,,
Víkurskóli (Reykjavík),vikurskoli reykjavik,,,,
"Víkurskóli, Vík í Mýrdal",vikurskoli vik i myrdal,,,,
Víkurskóli (Vík í Mýrdal),vikurskoli vik i myrdal,,,,
Villingaholtsskóli,villingaholtsskoli,,,,
