sveitarfelag_source,sveitarfelag_harmonized,harmonization_status,notes
Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.
Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.
Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.
Blönduósbær,Húnabyggð,harmonized,Former municipality; now Húnabyggð.
Bolungarvík,Bolungarvíkurkaupstaður,harmonized,Current official municipality name.
Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.
Borgarfjarðarhreppur,Múlaþing,harmonized,Former municipality; now Múlaþing.
Dalabyggð,Dalabyggð,unchanged,Already current for project joins.
Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.
Djúpavogshreppur,Múlaþing,harmonized,Former municipality; now Múlaþing.
Eyjafjarðarsveit,Eyjafjarðarsveit,unchanged,Already current for project joins.
Fjallabyggð,Fjallabyggð,unchanged,Already current for project joins.
Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.
Fljótsdalshérað,Múlaþing,harmonized,Former municipality; now Múlaþing.
Flóahreppur,Flóahreppur,unchanged,Already current for project joins.
Garðabær,Garðabær,unchanged,Already current for project joins.
Grindavíkurbær,Grindavíkurbær,unchanged,Already current for project joins.
Grundarfjarðarbær,Grundarfjarðarbær,unchanged,Already current for project joins.
Grímsnes- og Grafningsher.,Grímsnes- og Grafningshreppur,harmonized,Samband school list abbreviation expanded to current municipality name.
Grýtubakkahreppur,Grýtubakkahreppur,unchanged,Already current for project joins.
Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.
Hrunamannahreppur,Hrunamannahreppur,unchanged,Already current for project joins.
Hvalfjarðarsveit,Hvalfjarðarsveit,unchanged,Already current for project joins.
Hveragerðisbær,Hveragerðisbær,unchanged,Already current for project joins.
Hörgársveit,Hörgársveit,unchanged,Already current for project joins.
Húnabyggð,Húnabyggð,unchanged,Already current for project joins.
Húnavatnshreppur,Húnabyggð,harmonized,Former municipality; now Húnabyggð.
Húnaþing vestra,Húnaþing vestra,unchanged,Already current for project joins.
Kaldrananeshreppur,Kaldrananeshreppur,unchanged,Already current for project joins.
Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.
Langanesbyggð,Langanesbyggð,unchanged,Already current for project joins.
Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.
Múlaþing,Múlaþing,unchanged,Already current for project joins.
Múlaþing (Borgarfjarðarhreppur),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.
Múlaþing (Djúpavogshreppur),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.
Múlaþing (Fljótsdalshérað),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.
Mýrdalshreppur,Mýrdalshreppur,unchanged,Already current for project joins.
Norðurþing,Norðurþing,unchanged,Already current for project joins.
Rangárþing eystra,Rangárþing eystra,unchanged,Already current for project joins.
Rangárþing ytra,Rangárþing ytra,unchanged,Already current for project joins.
Reykhólahreppur,Reykhólahreppur,unchanged,Already current for project joins.
Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.
Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.
Sandgerðisbær,Suðurnesjabær,harmonized,Former municipality; now Suðurnesjabær.
Seltjarnarneskaupstaður,Seltjarnarnesbær,harmonized,Current official municipality name.
Seyðisfjarðarkaupstaður,Múlaþing,harmonized,Former municipality; now Múlaþing.
Skaftárhreppur,Skaftárhreppur,unchanged,Already current for project joins.
Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,unchanged,Already current for project joins.
Skútustaðahreppur,Þingeyjarsveit,harmonized,Former municipality; now Þingeyjarsveit.
Snæfellsbær,Snæfellsbær,unchanged,Already current for project joins.
Strandabyggð,Strandabyggð,unchanged,Already current for project joins.
Stykkishólmsbær,Stykkishólmsbær,unchanged,Already current for project joins.
Suðurnesjabær,Suðurnesjabær,unchanged,Already current for project joins.
Svalbarðsstrandarhreppur,Svalbarðsstrandarhreppur,unchanged,Already current for project joins.
Sveitarfélagið Garður,Suðurnesjabær,harmonized,Former municipality; now Suðurnesjabær.
Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,unchanged,Already current for project joins.
Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,unchanged,Already current for project joins.
Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,unchanged,Already current for project joins.
Sveitarfélagið Vogar,Sveitarfélagið Vogar,unchanged,Already current for project joins.
Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.
Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,unchanged,Already current for project joins.
Súðavík,Súðavíkurhreppur,harmonized,Source place-name form expanded to current municipality name.
Tálknafjarðarhreppur,Vesturbyggð,harmonized,Merged into Vesturbyggð.
Vestmannaeyjabær,Vestmannaeyjabær,unchanged,Already current for project joins.
Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.
Vopnafjarðarhreppur,Vopnafjarðarhreppur,unchanged,Already current for project joins.
Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.
Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.
