framhaldsskoli,grunnskoli,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,average_framhaldsskoli_graduation_grade,number_of_students,is_fewer_than_5_group,source_url,source_note,page,manual_review
Borgarholtsskóli,Foldaskóli,3.5,3.3,8.2,7,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Borgarholtsskóli,Varmárskóli,2.8,2.7,8.1,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Borgarholtsskóli,Vættaskóli - Engi,3.0,3.0,7.1,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Borgarholtsskóli,Færri en 5 nemendur,2.8,2.6,7.4,64,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fisktækniskóli Íslands ehf,Færri en 5 nemendur,2.2,2.0,8.0,10,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskóli Norðurlands Vestra,Árskóli,3.1,3.1,7.4,28,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Norðurlands Vestra,Færri en 5 nemendur,3.0,3.0,7.4,18,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskóli Snæfellinga,Grunnskóli Grundarfjarðar,3.3,2.7,7.3,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Snæfellinga,Grunnskóli Snæfellsbæjar,3.0,2.5,7.2,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Snæfellinga,Færri en 5 nemendur,2.4,2.1,7.3,9,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskóli Suðurlands,Flúðaskóli,2.8,3.0,7.8,7,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurlands,Grunnskólinn í Hveragerði,3.0,3.2,7.0,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurlands,Grunnskólinn í Þorlákshöfn,3.3,3.1,8.2,18,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurlands,Sunnulækjarskóli,3.1,2.8,7.8,29,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurlands,Vallaskóli,2.9,2.8,7.8,26,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurlands,Færri en 5 nemendur,3.0,2.9,7.8,29,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskóli Suðurnesja,Akurskóli,2.8,2.6,7.9,13,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Grunnskóli Grindavíkur,3.3,3.4,7.3,9,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Heiðarskóli - Reykjanesbæ,3.0,3.0,7.8,25,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Holtaskóli,2.8,2.8,7.6,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Háaleitisskóli - Reykjanesbæ,2.3,2.3,7.0,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Myllubakkaskóli,3.1,3.3,7.8,7,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Njarðvíkurskóli,3.1,2.8,8.2,15,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Sandgerðisskóli,3.6,3.9,8.0,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Suðurnesja,Færri en 5 nemendur,2.7,3.1,7.4,14,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskóli Vesturlands,Brekkubæjarskóli,3.1,3.1,7.9,15,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Vesturlands,Grundaskóli,3.1,3.1,7.9,43,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,6,
Fjölbrautaskóli Vesturlands,Færri en 5 nemendur,3.0,2.9,7.7,15,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,6,
Fjölbrautaskólinn í Breiðholti,Hólabrekkuskóli,2.6,2.5,7.8,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Breiðholti,Seljaskóli,2.2,2.1,8.0,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Breiðholti,Færri en 5 nemendur,2.8,2.6,7.6,47,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,7,
Fjölbrautaskólinn í Garðabæ,Garðaskóli,3.0,2.8,7.3,50,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Garðabæ,Kársnesskóli,3.2,3.0,6.9,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Garðabæ,Salaskóli,3.1,3.3,7.4,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Garðabæ,Smáraskóli,3.3,3.5,8.0,10,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Garðabæ,Álftanesskóli,3.2,2.8,7.6,9,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn í Garðabæ,Færri en 5 nemendur,3.3,3.1,7.7,57,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,7,
Fjölbrautaskólinn við Ármúla,Háaleitisskóli - Álftamýri,2.7,2.0,7.0,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn við Ármúla,Réttarholtsskóli,2.8,3.1,7.1,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Fjölbrautaskólinn við Ármúla,Færri en 5 nemendur,3.0,2.7,7.3,39,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,7,
Flensborgarskólinn í Hafnarfirði,Hraunvallaskóli,3.2,3.2,7.7,30,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Hvaleyrarskóli,3.0,2.7,7.2,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Lækjarskóli,3.1,2.9,7.3,9,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Víðistaðaskóli,3.8,3.5,7.5,10,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Álftanesskóli,3.1,2.9,7.7,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Áslandsskóli,3.3,3.6,8.0,14,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Öldutúnsskóli,2.7,2.8,7.4,9,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Flensborgarskólinn í Hafnarfirði,Færri en 5 nemendur,3.1,3.1,7.3,12,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,7,
Framhaldsskólinn á Húsavík,Borgarhólsskóli,2.8,2.8,8.1,17,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Framhaldsskólinn á Laugum,Hafralækjarskóli,3.3,3.2,8.1,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
Framhaldsskólinn á Laugum,Færri en 5 nemendur,2.9,2.7,7.8,23,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,7,
Framhaldsskólinn í A-Skaftafellssýslu,Grunnskóli Hornafjarðar,2.9,3.6,7.8,7,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,7,
