grunnskoli,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,row_type,is_fewer_than_5_group,source_url,source_note,page,manual_review
Heild,3.2,3.2,aggregate,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Akurskóli,3.0,2.9,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Austurbæjarskóli,3.5,3.5,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Barnaskólinn á Eyrarbakka og Stokkseyri,3.0,2.5,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Blönduskóli,3.4,3.2,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Borgarhólsskóli,2.9,2.9,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Breiðholtsskóli,3.4,3.2,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Brekkubæjarskóli,3.2,3.1,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Brekkuskóli,3.0,2.9,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Dalskóli,3.5,3.2,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Dalvíkurskóli,2.7,2.4,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Egilsstaðaskóli,2.9,2.8,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
"Fellaskóli, Fellabæ",3.2,2.9,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
"Fellaskóli, Norðurfelli",2.8,3.0,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Flóaskóli,2.9,3.7,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Flúðaskóli,2.8,3.1,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Foldaskóli,3.6,3.3,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Færri en 5 nemendur,3.2,3.1,grunnskoli,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Garðaskóli,3.2,3.2,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Gerðaskóli,2.9,3.3,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Giljaskóli,3.2,3.2,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Glerárskóli,2.9,3.0,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Grundaskóli,3.1,3.1,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
Grunnskóli Bolungarvíkur,2.9,3.0,grunnskoli,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; row_type identifies the retained Heild aggregate row.,13,
