grunnskoli,number_of_students,source_url,source_note,page,manual_review
Akurskóli,22,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Alþjóðaskólinn á Íslandi,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Austurbæjarskóli,27,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
"Auðarskóli, grunnskóladeild Búðardal",2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Barnaskólinn á Eyrarbakka og Stokkseyri,6,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Bláskógaskóli Laugarvatni,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Bláskógaskóli Reykholti,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Blönduskóli,8,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Borgarhólsskóli,22,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Breiðholtsskóli,18,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Brekkubæjarskóli,17,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Brekkuskóli,37,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Brúarásskóli,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Bíldudalsskóli,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Dalskóli,11,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Dalvíkurskóli,12,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Djúpavogsskóli,2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Egilsstaðaskóli,19,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Eskifjarðarskóli,2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
"Fellaskóli, Fellabæ",5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
"Fellaskóli, Norðurfelli",8,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Flóaskóli,5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Flúðaskóli,13,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Foldaskóli,47,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Framsýn menntun ehf.,2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Garðaskóli,142,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Gerðaskóli,6,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Giljaskóli,23,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Glerárskóli,15,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grenivíkurskóli,2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grundaskóli,51,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Bolungarvíkur,7,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Borgarfjarðar,9,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Borgarfjarðar-eystri,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Djúpavogs,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Fjallabyggðar,6,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Grindavíkur,26,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Grundarfjarðar,7,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Hornafjarðar,16,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Húnaþings vestra,7,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Reyðarfjarðar,10,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Seltjarnarness,29,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Snæfellsbæjar,18,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Vestmannaeyja,31,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskóli Vesturbyggðar,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn Hellu,11,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn austan Vatna,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn á Eskifirði,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn á Suðureyri,5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn á Ísafirði,26,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn á Þingeyri,2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn á Þórshöfn,3,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn í Borgarnesi,17,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn í Hveragerði,17,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Grunnskólinn í Sandgerði,6,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
