source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Akurskóli,Akurskóli,Reykjanesbær,Reykjanesbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,22,3.0,2.9,1,13,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Alþjóðaskólinn á Íslandi,Alþjóðaskólinn á Íslandi,Garðabær,Garðabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Austurbæjarskóli,Austurbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,27,3.5,3.5,2,11,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
"Auðarskóli, grunnskóladeild Búðardal",Auðarskóli,Dalabyggð,Dalabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,,0,,true,false,false,false,Búðardalur school / Auðarskóli.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Barnaskólinn á Eyrarbakka og Stokkseyri,Barnaskólinn á Eyrarbakka og Stokkseyri,Sveitarfélagið Árborg,Sveitarfélagið Árborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,6,3.0,2.5,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Bláskógaskóli Laugarvatni,Bláskógaskóli - Laugarvatni,Bláskógabyggð,Bláskógabyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Bláskógaskóli Reykholti,Reykholtsskóli / Bláskógaskóli Reykholti,Bláskógabyggð,Bláskógabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,,0,,true,false,false,false,Reykholt location of Bláskógaskóli / current Reykholtsskóli naming.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Blönduskóli,Blönduskóli / Húnaskóli,Húnabyggð,Húnabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,8,3.4,3.2,0,,true,true,false,false,Current municipality harmonized to Húnabyggð.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Borgarhólsskóli,Borgarhólsskóli,Norðurþing,Norðurþing,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,22,2.9,2.9,1,17,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Breiðholtsskóli,Breiðholtsskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,18,3.4,3.2,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Brekkubæjarskóli,Brekkubæjarskóli,Akraneskaupstaður,Akraneskaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,17,3.2,3.1,1,15,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Brekkuskóli,Brekkuskóli,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,37,3.0,2.9,2,31,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Brúarásskóli,Brúarásskóli,Múlaþing,Fljótsdalshérað,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Bíldudalsskóli,Bíldudalsskóli,Vesturbyggð,Vesturbyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,1,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Dalskóli,Dalskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,11,3.5,3.2,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Dalvíkurskóli,Dalvíkurskóli,Dalvíkurbyggð,Dalvíkurbyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,12,2.7,2.4,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Djúpavogsskóli,Djúpavogsskóli,Múlaþing,Múlaþing (Djúpavogshreppur),analysis_required,matched_exact,1.000,samband_grunnskolar_excel,2,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Egilsstaðaskóli,Egilsstaðaskóli,Múlaþing,Múlaþing (Fljótsdalshérað),analysis_required,matched_exact,1.000,samband_grunnskolar_excel,19,2.9,2.8,1,15,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
