sveitarfelag_harmonized,total_matched_graduates,number_of_grunnskolar_represented,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,weighted_average_grunnskoli_icelandic_grade,weighted_average_grunnskoli_math_grade,unweighted_average_grunnskoli_icelandic_grade,unweighted_average_grunnskoli_math_grade,average_grade_weighting_method,schools_with_graduate_counts,schools_with_grade_rows,has_graduates_table_coverage,has_grades_by_grunnskoli_coverage,has_framhaldsskoli_grunnskoli_coverage,source_note
Akraneskaupstaður,68,2,3.12,3.1,3.12,3.1,3.15,3.1,graduate_count_weighted_where_available,2,2,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Akureyrarbær,168,9,3.11,3.04,3.11,3.04,3.11,3.04,graduate_count_weighted_where_available,9,7,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Bláskógabyggð,8,2,,,,,,,unweighted_school_average,2,0,true,false,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Bolungarvíkurkaupstaður,7,1,2.9,3.0,2.9,3.0,2.9,3.0,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Borgarbyggð,26,2,3.3,3.37,3.3,3.37,3.35,3.4,graduate_count_weighted_where_available,2,2,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Dalabyggð,2,1,,,,,,,unweighted_school_average,1,0,true,false,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Dalvíkurbyggð,12,1,2.7,2.4,2.7,2.4,2.7,2.4,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Eyjafjarðarsveit,11,1,3.2,3.1,3.2,3.1,3.2,3.1,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Fjallabyggð,6,1,3.2,3.1,3.2,3.1,3.2,3.1,graduate_count_weighted_where_available,1,1,true,true,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Fjarðabyggð,30,5,3.0,2.7,3.0,2.7,3.0,2.7,graduate_count_weighted_where_available,5,2,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Flóahreppur,5,1,2.9,3.7,2.9,3.7,2.9,3.7,graduate_count_weighted_where_available,1,1,true,true,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Garðabær,192,4,3.19,3.15,3.19,3.15,3.13,3.03,graduate_count_weighted_where_available,4,3,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Grindavíkurbær,26,1,3.2,3.3,3.2,3.3,3.2,3.3,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Grundarfjarðarbær,7,1,3.3,2.9,3.3,2.9,3.3,2.9,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Grímsnes- og Grafningshreppur,1,1,,,,,,,unweighted_school_average,1,0,true,false,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Grýtubakkahreppur,2,1,,,,,,,unweighted_school_average,1,0,true,false,false,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Hafnarfjarðarkaupstaður,236,9,3.26,3.27,3.26,3.27,3.3,3.27,graduate_count_weighted_where_available,9,8,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
Hrunamannahreppur,13,1,2.8,3.1,2.8,3.1,2.8,3.1,graduate_count_weighted_where_available,1,1,true,true,true,Municipality summary of Alþingi PDF candidate school rows. Weighted averages use matched graduate_count where available; this is not a true graduation rate.
