sveitarfelag_harmonized,reading_measurement_period,reading_metric,strict_latest_reading_school_year,strict_latest_reading_value_pct,strict_latest_reading_component_count,strict_latest_reading_nonmissing_component_count,strict_latest_reading_aggregation_method,strict_latest_reading_note,latest_available_reading_school_year,latest_available_reading_value_pct,latest_available_reading_component_count,latest_available_reading_nonmissing_component_count,latest_available_reading_aggregation_method,latest_available_reading_note,latest_reading_school_year,latest_reading_value_pct,spending_year,primary_spending_metric,amount_isk,spend_per_source_student,spend_per_resident,spend_per_resident_age_6_15,population_total,population_age_6_15,denominator_source_student_count,kostnadur_netto_amount_isk,kostnadur_netto_spend_per_source_student,kostnadur_netto_spend_per_resident,kostnadur_netto_spend_per_resident_age_6_15,kostnadur_brutto_amount_isk,kostnadur_brutto_spend_per_source_student,kostnadur_brutto_spend_per_resident,kostnadur_brutto_spend_per_resident_age_6_15,has_strict_latest_reading,has_latest_available_reading,has_latest_reading,has_2024_spending_kostnadur_netto,has_2024_spending_kostnadur_brutto,has_2024_population_denominator,reading_source_url,spending_source_url,source_note
Akraneskaupstaður,vor,naer_lagmarksvidmidi_2_3,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Akraneskaupstaður.,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Akraneskaupstaður.,2024-2025,80.0,2024,kostnadur_netto,2538930442,2183087.22,314574.46,2215471.59,8071,1146,1163,2538930442,2183087.22,314574.46,2215471.59,2663816010,2290469.48,330047.83,2324446.78,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Akureyrarbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Akureyrarbær.,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Akureyrarbær.,2024-2025,80.0,2024,kostnadur_netto,6414849447,2532510.64,323786.06,2472003.64,19812,2595,2533,6414849447,2532510.64,323786.06,2472003.64,6948098536,2743031.4,350701.52,2677494.62,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Bláskógabyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,72.0,1,1,direct_source_municipality_value,Direct source municipality value for Bláskógabyggð.,2024-2025,72.0,1,1,direct_source_municipality_value,Direct source municipality value for Bláskógabyggð.,2024-2025,72.0,2024,kostnadur_netto,704915848,4607293.12,533219.25,4433433.01,1322,159,153,704915848,4607293.12,533219.25,4433433.01,739524712,4833494.85,559398.42,4651098.82,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Bolungarvíkurkaupstaður,vor,naer_lagmarksvidmidi_2_3,2024-2025,72.0,1,1,direct_source_municipality_value,Direct source municipality value for Bolungarvíkurkaupstaður.,2024-2025,72.0,1,1,direct_source_municipality_value,Direct source municipality value for Bolungarvíkurkaupstaður.,2024-2025,72.0,2024,kostnadur_netto,438125152,3591189.77,442998.13,3591189.77,989,122,122,438125152,3591189.77,442998.13,3591189.77,464693540,3808963.44,469862.02,3808963.44,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Borgarbyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,75.0,1,1,direct_source_municipality_value,Direct source municipality value for Borgarbyggð.,2024-2025,75.0,1,1,direct_source_municipality_value,Direct source municipality value for Borgarbyggð.,2024-2025,75.0,2024,kostnadur_netto,1693403072,3340045.51,413025.14,3262819.02,4100,519,507,1693403072,3340045.51,413025.14,3262819.02,1718043825,3388646.6,419035.08,3310296.39,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Dalabyggð,vor,naer_lagmarksvidmidi_2_3,,,,,,,,,,,,,,,2024,kostnadur_netto,318767240,4553817.71,496522.18,4194305.79,642,76,70,318767240,4553817.71,496522.18,4194305.79,335450378,4792148.26,522508.38,4413820.76,false,false,false,true,true,true,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Dalvíkurbyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,74.0,1,1,direct_source_municipality_value,Direct source municipality value for Dalvíkurbyggð.,2024-2025,74.0,1,1,direct_source_municipality_value,Direct source municipality value for Dalvíkurbyggð.,2024-2025,74.0,2024,kostnadur_netto,793222918,3237644.56,425092.67,3198479.51,1866,248,245,793222918,3237644.56,425092.67,3198479.51,844730273,3447878.67,452695.75,3406170.46,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Eyjafjarðarsveit,vor,naer_lagmarksvidmidi_2_3,2024-2025,78.0,1,1,direct_source_municipality_value,Direct source municipality value for Eyjafjarðarsveit.,2024-2025,78.0,1,1,direct_source_municipality_value,Direct source municipality value for Eyjafjarðarsveit.,2024-2025,78.0,2024,kostnadur_netto,572099975,3214044.8,492340.77,3092432.3,1162,185,178,572099975,3214044.8,492340.77,3092432.3,597353804,3355920.25,514073.84,3228939.48,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Fjallabyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,84.0,1,1,direct_source_municipality_value,Direct source municipality value for Fjallabyggð.,2024-2025,84.0,1,1,direct_source_municipality_value,Direct source municipality value for Fjallabyggð.,2024-2025,84.0,2024,kostnadur_netto,808717573,3626536.2,409892.33,3626536.2,1973,223,223,808717573,3626536.2,409892.33,3626536.2,834371276,3741575.23,422894.72,3741575.23,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Fjarðabyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,74.0,1,1,direct_source_municipality_value,Direct source municipality value for Fjarðabyggð.,2024-2025,74.0,1,1,direct_source_municipality_value,Direct source municipality value for Fjarðabyggð.,2024-2025,74.0,2024,kostnadur_netto,2248689945,3321550.88,435539.4,3180608.13,5163,707,677,2248689945,3321550.88,435539.4,3180608.13,2289793189,3382264.68,443500.52,3238745.67,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
