year,school_year,grunnskoli,normalized_school_name,student_count_10th_grade,source_url,source_note
2001,2001-2002,Andakílsskóli,andakilsskoli,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Austurbæjarskóli,austurbaejarskoli,57,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Barnaskóli Bárðdæla,barnaskoli barddaela,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Barnaskóli Vestmannaeyja,barnaskoli vestmannaeyja,44,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Barnaskóli Ólafsfjarðar,barnaskoli olafsfjardar,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Barnaskólinn á Eyrarbakka og Stokkseyri,barnaskolinn a eyrarbakka og stokkseyri,17,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Borgarhólsskóli,borgarholsskoli,43,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Borgaskóli,borgaskoli,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Brautarholtsskóli,brautarholtsskoli,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
2001,2001-2002,Breiðagerðisskóli,breidagerdisskoli,0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,"Hagstofa table SKO02102. Grade rows 1. bekkur through 10. bekkur; raw table also includes Alls, Drengir, and Stúlkur categories. Use as denominator/proxy context, not a true framhaldsskóli graduation-rate denominator."
