source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Akurskóli,akurskoli,analysis_required,Akurskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,22,,Exact normalized match.
Álfhólsskóli,alfholsskoli,analysis_required,Álfhólsskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,27,,Exact normalized match.
Álftamýrarskóli,alftamyrarskoli,analysis_required,Álftamýrarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,9,,Exact normalized match.
Álftanesskóli,alftanesskoli,analysis_required,Álftanesskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,30,,Exact normalized match.
Alþjóðaskólinn á Íslandi,althjodaskolinn a islandi,analysis_required,Alþjóðaskólinn á Íslandi,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Andakílsskóli,andakilsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.815,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Árbæjarskóli,arbaejarskoli,analysis_required,Árbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,63,,Exact normalized match.
Arnarskóli,arnarskoli,reference_only,Arnarskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Árskógarskóli,arskogarskoli,reference_only,Árskógarskóli,Dalvíkurbyggð,Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Árskóli,arskoli,analysis_required,Árskóli,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,30,,Exact normalized match.
Ártúnsskóli,artunsskoli,reference_only,Ártúnsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Ásgarðsskóli,asgardsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.833,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Ásgarður,asgardur,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Áslandsskóli,aslandsskoli,analysis_required,Áslandsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,31,,Exact normalized match.
Auðarskóli,audarskoli,reference_only,Auðarskóli,Dalabyggð,Dalabyggð,Dalabyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
"Auðarskóli, grunnskóladeild Búðardal",audarskoli grunnskoladeild budardal,analysis_required,Auðarskóli,Dalabyggð,Dalabyggð,Dalabyggð,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,Búðardalur school / Auðarskóli.
Austurbæjarskóli,austurbaejarskoli,analysis_required,Austurbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,27,,Exact normalized match.
Barnaskóli Bárðdæla,barnaskoli barddaela,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Barnaskóli Hjallastefnunnar Garðabæ,barnaskoli hjallastefnunnar gardabae,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.896,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Barnaskóli Hjallastefnunnar Hafnarfirði,barnaskoli hjallastefnunnar hafnarfirdi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.857,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
