year,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,population_total,population_age_6_15,population_age_6_15_note,source_url,source_note
1998,Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.,5125,871,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,15428,2471,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,792,137,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,1093,190,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.,3259,551,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Dalabyggð,Dalabyggð,unchanged,Already current for project joins.,833,115,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.,2082,385,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,unchanged,No project-local harmonization needed; carried forward as current/source name.,122,22,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Eyjafjarðarsveit,Eyjafjarðarsveit,unchanged,Already current for project joins.,936,170,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
1998,Fjallabyggð,Fjallabyggð,unchanged,Already current for project joins.,2731,480,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
