audit_section,item,value,details
summary,analysis_municipality_reading_spending_2024_rows,54,
summary,analysis_althingi_school_outcomes_mapped_rows,145,
summary,analysis_municipality_althingi_summary_rows,52,
summary,strict_latest_reading_global_school_year,2024-2025,
summary,latest_available_reading_fallback_municipalities,4,Grindavíkurbær; Langanesbyggð; Sveitarfélagið Skagaströnd; Vesturbyggð
summary,multi_component_reading_aggregation_municipalities,1,Múlaþing
summary,municipalities_with_grade_coverage_share_below_0_8,17,Bláskógabyggð; Dalabyggð; Fjarðabyggð; Grímsnes- og Grafningshreppur; Grýtubakkahreppur; Hvalfjarðarsveit; Hörgársveit; Langanesbyggð; Múlaþing; Mýrdalshreppur; Reykhólahreppur; Skaftárhreppur; Svalbarðsstrandarhreppur; Sveitarfélagið Skagaströnd; Súðavíkurhreppur; Vesturbyggð; Þingeyjarsveit
coverage,reading_municipalities,46,Akraneskaupstaður; Akureyrarbær; Bláskógabyggð; Bolungarvíkurkaupstaður; Borgarbyggð; Dalvíkurbyggð; Eyjafjarðarsveit; Fjallabyggð; Fjarðabyggð; Flóahreppur; Garðabær; Grindavíkurbær; Grundarfjarðarbær; Grímsnes- og Grafningshreppur; Hafnarfjarðarkaupstaður; Hrunamannahreppur; Hvalfjarðarsveit; Hveragerðisbær; Húnabyggð; Húnaþing vestra; Kópavogsbær; Langanesbyggð; Mosfellsbær; Múlaþing; Mýrdalshreppur; Norðurþing; Rangárþing eystra; Rangárþing ytra; Reykjanesbær; Reykjavíkurborg; Seltjarnarnesbær; Skagafjörður; Snæfellsbær; Suðurnesjabær; Svalbarðsstrandarhreppur; Sveitarfélagið Hornafjörður; Sveitarfélagið Skagaströnd; Sveitarfélagið Stykkishólmur; Sveitarfélagið Vogar; Sveitarfélagið Árborg; Sveitarfélagið Ölfus; Vestmannaeyjabær; Vesturbyggð; Vopnafjarðarhreppur; Ísafjarðarbær; Þingeyjarsveit
coverage,spending_municipalities,53,Akraneskaupstaður; Akureyrarbær; Bláskógabyggð; Bolungarvíkurkaupstaður; Borgarbyggð; Dalabyggð; Dalvíkurbyggð; Eyjafjarðarsveit; Fjallabyggð; Fjarðabyggð; Flóahreppur; Garðabær; Grundarfjarðarbær; Grímsnes- og Grafningshreppur; Grýtubakkahreppur; Hafnarfjarðarkaupstaður; Hrunamannahreppur; Hvalfjarðarsveit; Hveragerðisbær; Hörgársveit; Húnabyggð; Húnaþing vestra; Kaldrananeshreppur; Kópavogsbær; Langanesbyggð; Mosfellsbær; Múlaþing; Mýrdalshreppur; Norðurþing; Rangárþing eystra; Rangárþing ytra; Reykhólahreppur; Reykjanesbær; Reykjavíkurborg; Seltjarnarnesbær; Skagafjörður; Skeiða- og Gnúpverjahreppur; Snæfellsbær; Strandabyggð; Suðurnesjabær; Svalbarðsstrandarhreppur; Sveitarfélagið Hornafjörður; Sveitarfélagið Skagaströnd; Sveitarfélagið Stykkishólmur; Sveitarfélagið Vogar; Sveitarfélagið Árborg; Sveitarfélagið Ölfus; Súðavíkurhreppur; Vestmannaeyjabær; Vesturbyggð; Vopnafjarðarhreppur; Ísafjarðarbær; Þingeyjarsveit
coverage,althingi_summary_municipalities,52,Akraneskaupstaður; Akureyrarbær; Bláskógabyggð; Bolungarvíkurkaupstaður; Borgarbyggð; Dalabyggð; Dalvíkurbyggð; Eyjafjarðarsveit; Fjallabyggð; Fjarðabyggð; Flóahreppur; Garðabær; Grindavíkurbær; Grundarfjarðarbær; Grímsnes- og Grafningshreppur; Grýtubakkahreppur; Hafnarfjarðarkaupstaður; Hrunamannahreppur; Hvalfjarðarsveit; Hveragerðisbær; Hörgársveit; Húnabyggð; Húnaþing vestra; Kópavogsbær; Langanesbyggð; Mosfellsbær; Múlaþing; Mýrdalshreppur; Norðurþing; Rangárþing eystra; Rangárþing ytra; Reykhólahreppur; Reykjanesbær; Reykjavíkurborg; Seltjarnarnesbær; Skaftárhreppur; Skagafjörður; Snæfellsbær; Suðurnesjabær; Svalbarðsstrandarhreppur; Sveitarfélagið Hornafjörður; Sveitarfélagið Skagaströnd; Sveitarfélagið Stykkishólmur; Sveitarfélagið Vogar; Sveitarfélagið Árborg; Sveitarfélagið Ölfus; Súðavíkurhreppur; Vestmannaeyjabær; Vesturbyggð; Vopnafjarðarhreppur; Ísafjarðarbær; Þingeyjarsveit
join_gap_summary,reading_not_spending,1,Grindavíkurbær
join_gap,reading_not_spending,Grindavíkurbær,in_reading=true; in_spending=false; in_althingi_summary=true
join_gap_summary,spending_not_reading,8,Dalabyggð; Grýtubakkahreppur; Hörgársveit; Kaldrananeshreppur; Reykhólahreppur; Skeiða- og Gnúpverjahreppur; Strandabyggð; Súðavíkurhreppur
join_gap,spending_not_reading,Dalabyggð,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,spending_not_reading,Grýtubakkahreppur,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,spending_not_reading,Hörgársveit,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,spending_not_reading,Kaldrananeshreppur,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap,spending_not_reading,Reykhólahreppur,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,spending_not_reading,Skeiða- og Gnúpverjahreppur,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap,spending_not_reading,Strandabyggð,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap,spending_not_reading,Súðavíkurhreppur,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap_summary,althingi_not_spending,2,Grindavíkurbær; Skaftárhreppur
join_gap,althingi_not_spending,Grindavíkurbær,in_reading=true; in_spending=false; in_althingi_summary=true
join_gap,althingi_not_spending,Skaftárhreppur,in_reading=false; in_spending=false; in_althingi_summary=true
join_gap_summary,spending_not_althingi,3,Kaldrananeshreppur; Skeiða- og Gnúpverjahreppur; Strandabyggð
join_gap,spending_not_althingi,Kaldrananeshreppur,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap,spending_not_althingi,Skeiða- og Gnúpverjahreppur,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap,spending_not_althingi,Strandabyggð,in_reading=false; in_spending=true; in_althingi_summary=false
join_gap_summary,reading_not_althingi,0,
join_gap_summary,althingi_not_reading,6,Dalabyggð; Grýtubakkahreppur; Hörgársveit; Reykhólahreppur; Skaftárhreppur; Súðavíkurhreppur
join_gap,althingi_not_reading,Dalabyggð,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,althingi_not_reading,Grýtubakkahreppur,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,althingi_not_reading,Hörgársveit,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,althingi_not_reading,Reykhólahreppur,in_reading=false; in_spending=true; in_althingi_summary=true
join_gap,althingi_not_reading,Skaftárhreppur,in_reading=false; in_spending=false; in_althingi_summary=true
join_gap,althingi_not_reading,Súðavíkurhreppur,in_reading=false; in_spending=true; in_althingi_summary=true
caveat,reading_latest_available,latest non-missing vor value per harmonized municipality,Multi-source harmonized municipalities preserve component counts and aggregation notes instead of overwriting source rows.
caveat,spending_denominators,"population_age_6_15 is a population proxy, not exact school enrollment",spend_per_source_student uses Samband source student counts; population ratios use Hagstofa MAN02005.
caveat,althingi_grades,"candidate extraction, non-standardized grades",Alþingi grade tables are preserved as extracted candidates and are not adjusted for school or cohort composition.
caveat,graduates,not a true graduation rate,Alþingi graduate counts are not joined to a true cohort denominator in Phase 7.
