audit_section,year,grade,item,value,source_note
source,,,source_url,https://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__skolamal__2_grunnskolastig__0_gsNemendur/SKO02102.px/,
source,,,api_url,https://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/2_grunnskolastig/0_gsNemendur/SKO02102.px,
source,,,extracted_at_utc,2026-05-21T22:50:14.368979+00:00,
source,,,raw_metadata_file,data/raw/hagstofa_sko02102_metadata.json,
source,,,raw_response_file,data/raw/hagstofa_sko02102_all_jsonstat2.json,
summary,,,processed_grade_rows,40023,
summary,,,processed_10th_grade_rows,3862,
summary,,,years_extracted,2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,
summary,,,grades_extracted,1. bekkur; 2. bekkur; 3. bekkur; 4. bekkur; 5. bekkur; 6. bekkur; 7. bekkur; 8. bekkur; 9. bekkur; 10. bekkur,
summary,,,missing_source_cells_not_written,25740,Null/missing cells in the raw JSON-stat response are omitted from processed outputs.
summary,,,hagstofa_source_caveats,"Hagstofa table SKO02102. Nemendum sem ekki er raðað í bekki af skólum eru flokkaðir í bekki eftir aldri. Nemendur í fimm ára bekk eru ekki meðtaldir en eru sýndir í sérstakri töflu til ársins 2016; eftir það teljast þeir með leikskólabörnum. Notes in the source also flag possible registration issues for Einholtsskóli in 2001-2002, Dalbrautarskóli in 2001, and that pupils in Kárahnjúkaskóli 2004-2006 are not included. This is a denominator/proxy source, not a true framhaldsskóli graduation-rate denominator.",
by_year,2001,,schools_with_grade_rows,192,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2001,Alls,total_students_source_all_schools,44103,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2001,10. bekkur,total_10th_grade_students_source_all_schools,3878,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2002,,schools_with_grade_rows,193,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2002,Alls,total_students_source_all_schools,44695,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2002,10. bekkur,total_10th_grade_students_source_all_schools,4155,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2003,,schools_with_grade_rows,188,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2003,Alls,total_students_source_all_schools,44809,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2003,10. bekkur,total_10th_grade_students_source_all_schools,4609,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2004,,schools_with_grade_rows,178,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2004,Alls,total_students_source_all_schools,44511,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2004,10. bekkur,total_10th_grade_students_source_all_schools,4488,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2005,,schools_with_grade_rows,177,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2005,Alls,total_students_source_all_schools,44336,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2005,10. bekkur,total_10th_grade_students_source_all_schools,4779,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2006,,schools_with_grade_rows,173,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2006,Alls,total_students_source_all_schools,43875,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2006,10. bekkur,total_10th_grade_students_source_all_schools,4494,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2007,,schools_with_grade_rows,174,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2007,Alls,total_students_source_all_schools,43841,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2007,10. bekkur,total_10th_grade_students_source_all_schools,4637,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2008,,schools_with_grade_rows,174,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2008,Alls,total_students_source_all_schools,43511,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2008,10. bekkur,total_10th_grade_students_source_all_schools,4703,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_year,2009,,schools_with_grade_rows,175,Schools excluding the aggregate Alls row and excluding null grade cells.
