audit_section,item,value,source_note
source,source_url,https://px.hagstofa.is/pxis/pxweb/is/Ibuar/Ibuar__mannfjoldi__2_byggdir__sveitarfelog/MAN02005.px,
source,api_url,https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/2_byggdir/sveitarfelog/MAN02005.px,
source,extracted_at_utc,2026-05-22T09:54:44.790603+00:00,
source,raw_metadata_file,data/raw/hagstofa_man02005_metadata.json,
source,raw_response_file,data/raw/hagstofa_man02005_population_denominators_jsonstat2.json,
summary,long_rows_extracted,20097,
summary,processed_denominator_rows,1798,
summary,years_extracted,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026,
summary,source_municipalities,62,Akraneskaupstaður; Akureyrarbær; Bláskógabyggð; Bolungarvíkurkaupstaður; Borgarbyggð; Dalabyggð; Dalvíkurbyggð; Eyja- og Miklaholtshreppur; Eyjafjarðarsveit; Fjallabyggð; Fjarðabyggð; Fljótsdalshreppur; Flóahreppur; Garðabær; Grindavíkurbær; Grundarfjarðarbær; Grímsnes- og Grafningshreppur; Grýtubakkahreppur; Hafnarfjarðarkaupstaður; Hrunamannahreppur; Hvalfjarðarsveit; Hveragerðisbær; Hörgársveit; Húnabyggð; Húnaþing vestra; Kaldrananeshreppur; Kjósarhreppur; Kópavogsbær; Langanesbyggð; Mosfellsbær; Múlaþing; Mýrdalshreppur; Norðurþing; Rangárþing eystra; Rangárþing ytra; Reykhólahreppur; Reykjanesbær; Reykjavíkurborg; Seltjarnarnesbær; Skaftárhreppur; Skagafjörður; Skeiða- og Gnúpverjahreppur; Skorradalshreppur; Snæfellsbær; Strandabyggð; Suðurnesjabær; Svalbarðsstrandarhreppur; Sveitarfélagið Hornafjörður; Sveitarfélagið Skagaströnd; Sveitarfélagið Stykkishólmur; Sveitarfélagið Vogar; Sveitarfélagið Árborg; Sveitarfélagið Ölfus; Súðavíkurhreppur; Tjörneshreppur; Vestmannaeyjabær; Vesturbyggð; Vopnafjarðarhreppur; Árneshreppur; Ásahreppur; Ísafjarðarbær; Þingeyjarsveit
summary,harmonized_municipalities,62,Akraneskaupstaður; Akureyrarbær; Bláskógabyggð; Bolungarvíkurkaupstaður; Borgarbyggð; Dalabyggð; Dalvíkurbyggð; Eyja- og Miklaholtshreppur; Eyjafjarðarsveit; Fjallabyggð; Fjarðabyggð; Fljótsdalshreppur; Flóahreppur; Garðabær; Grindavíkurbær; Grundarfjarðarbær; Grímsnes- og Grafningshreppur; Grýtubakkahreppur; Hafnarfjarðarkaupstaður; Hrunamannahreppur; Hvalfjarðarsveit; Hveragerðisbær; Hörgársveit; Húnabyggð; Húnaþing vestra; Kaldrananeshreppur; Kjósarhreppur; Kópavogsbær; Langanesbyggð; Mosfellsbær; Múlaþing; Mýrdalshreppur; Norðurþing; Rangárþing eystra; Rangárþing ytra; Reykhólahreppur; Reykjanesbær; Reykjavíkurborg; Seltjarnarnesbær; Skaftárhreppur; Skagafjörður; Skeiða- og Gnúpverjahreppur; Skorradalshreppur; Snæfellsbær; Strandabyggð; Suðurnesjabær; Svalbarðsstrandarhreppur; Sveitarfélagið Hornafjörður; Sveitarfélagið Skagaströnd; Sveitarfélagið Stykkishólmur; Sveitarfélagið Vogar; Sveitarfélagið Árborg; Sveitarfélagið Ölfus; Súðavíkurhreppur; Tjörneshreppur; Vestmannaeyjabær; Vesturbyggð; Vopnafjarðarhreppur; Árneshreppur; Ásahreppur; Ísafjarðarbær; Þingeyjarsveit
summary,municipalities_needing_harmonization_review,0,
summary,total_population_coverage,1798,Rows with non-missing Aldur=Alls population.
summary,age_6_15_population_coverage,1798,Rows with summed ages 6-15 population.
definition,population_total,"Aldur=Alls, Kyn=Alls.",Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
definition,population_age_6_15,"Population ages 6-15; proxy denominator only, not exact grunnskóli enrollment.",Hagstofa table MAN02005. Kyn=Alls. population_total uses Aldur=Alls; population_age_6_15 sums ages 6 through 15 as a school-age population proxy.
