source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_1_recent_10th_grade_count,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,possible_match_2_recent_10th_grade_count,althingi_graduate_count,size_evidence_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Andakílsskóli,andakilsskoli,Landakotsskóli,Reykjavíkurborg,0.815,29,Hrafnagilsskóli,Eyjafjarðarsveit,0.786,17,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Ásgarðsskóli,asgardsskoli,Áslandsskóli,Hafnarfjarðarkaupstaður,0.833,57,Garðaskóli,Garðabær,0.818,233,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Ásgarður,asgardur,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Barnaskóli Bárðdæla,barnaskoli barddaela,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Barnaskóli Hjallastefnunnar Garðabæ,barnaskoli hjallastefnunnar gardabae,Barnaskóli Hjallastefnunnar Gbr,Garðabær,0.896,,Barnaskóli Hjallastefnunnar Hfj,Hafnarfjarðarkaupstaður,0.836,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Barnaskóli Hjallastefnunnar Hafnarfirði,barnaskoli hjallastefnunnar hafnarfirdi,Barnaskóli Hjallastefnunnar Hfj,Hafnarfjarðarkaupstaður,0.857,,Barnaskóli Hjallastefnunnar Gbr,Garðabær,0.829,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Barnaskóli Ólafsfjarðar,barnaskoli olafsfjardar,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Brautarholts- og Gnúpverjaskóli,brautarholts og gnupverjaskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Brautarholtsskóli,brautarholtsskoli,Réttarholtsskóli,Reykjavíkurborg,0.848,148,Borgarhólsskóli,Norðurþing,0.812,32,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Broddanesskóli,broddanesskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Dalbrautarskóli,dalbrautarskoli,Brúarskóli,Reykjavíkurborg,0.800,2,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Digranesskóli,digranesskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
